Date,Total_Sales,Total_Profit,Total_Quantity,Avg_Discount,Order_Count,Profit_Margin
2014-03-12,7883.32,-1207.8600000000001,11,0.0,2,-15.321717246033401
2014-03-13,51000.7,4154.83,45,0.016666666666666666,6,8.146613673929966
2014-03-14,19711.27,-281.8600000000001,24,0.0875,4,-1.429943377570294
2014-03-15,66741.24,76.2100000000001,69,0.015,10,0.11418727011964429
2014-03-16,33552.78,2960.1800000000003,43,0.11666666666666665,6,8.822458228498505
2014-03-17,33425.53,-5477.01,37,0.10000000000000002,3,-16.385708768118263
2014-03-18,26688.65,-671.6300000000002,67,0.027777777777777776,9,-2.5165379290447447
2014-03-19,25005.75,5409.4,57,0.1142857142857143,7,21.632624496365835
2014-03-20,36208.91,4976.02,32,0.02,5,13.742529117833152
2014-03-21,31579.75,961.0100000000002,37,0.02,5,3.0431209873415725
2014-03-22,40024.56,4039.3500000000004,67,0.06999999999999999,10,10.09217840246089
2014-03-23,16599.26,1812.4099999999999,40,0.05,5,10.918619263750312
2014-03-24,40066.27,6707.0599999999995,51,0.06666666666666667,6,16.739916143928546
2014-03-25,42744.91,1065.17,45,0.06666666666666667,6,2.491922430062433
2014-03-26,45900.75,8689.43,66,0.042857142857142864,7,18.93091071496653
2014-03-27,7768.42,2268.12,7,0.0,1,29.1966706228551
2014-03-28,58505.53,-585.3799999999994,88,0.04583333333333334,12,-1.000554990271859
2014-03-29,75727.41,2652.49,69,0.039999999999999994,10,3.5026815257513757
2014-03-30,55758.42,275.21,53,0.03333333333333333,6,0.4935756787943417
2014-03-31,24053.32,-1687.7400000000002,27,0.05,5,-7.016661317439755
2014-04-01,13790.37,-1003.81,22,0.025,4,-7.279065028712065
2014-04-02,63313.1,14761.67,52,0.06666666666666667,6,23.31534864032878
2014-04-03,32208.839999999997,2380.55,39,0.04,5,7.390983344945054
2014-04-04,40832.72,6822.64,80,0.075,8,16.708757094800443
2014-04-05,37627.33,406.2600000000001,47,0.025,8,1.0796939352327153
2014-04-06,8879.02,254.10000000000002,8,0.15,2,2.861802316021363
2014-04-07,78196.15,-2412.4399999999996,76,0.025,10,-3.0851135254101383
2014-04-08,62724.67,-3213.1600000000003,61,0.0125,8,-5.122641538010483
2014-04-09,15993.970000000001,-286.9799999999999,34,0.0,5,-1.7943012272750285
2014-04-10,49450.66,9624.630000000001,68,0.03333333333333334,9,19.463097155831694
2014-04-11,66996.64,5616.360000000001,67,0.03333333333333333,6,8.38304726923619
2014-04-12,44035.840000000004,4730.450000000001,105,0.07,15,10.74227265790774
2014-04-13,40049.64,5658.17,57,0.04285714285714286,7,14.127892285673479
2014-04-14,19643.97,2269.91,25,0.03333333333333333,3,11.555250797063932
2014-04-15,41959.649999999994,963.9599999999995,41,0.06666666666666667,6,2.2973499540630096
2014-04-16,2428.66,274.39,6,0.0375,4,11.297999720010212
2014-04-17,54741.99,-3837.47,67,0.027777777777777776,9,-7.0101032132737595
2014-04-18,39697.14,-2069.2799999999997,63,0.024999999999999998,6,-5.212667713593473
2014-04-19,11329.61,1488.99,35,0.07500000000000001,4,13.142464745035355
2014-04-20,33439.15,2888.6899999999996,39,0.0125,8,8.638646616316501
2014-04-21,27540.62,8737.08,26,0.05,4,31.72434026539708
2014-04-22,64843.39,572.5099999999999,93,0.024999999999999998,12,0.8829118897084188
2014-04-23,93899.22,598.1100000000006,72,0.06666666666666667,9,0.6369701473558573
2014-04-24,32248.219999999998,398.6499999999999,32,0.05714285714285715,7,1.2361922611542588
2014-04-25,19346.710000000003,-3244.64,12,0.11666666666666665,3,-16.771016880906366
2014-04-26,49322.43,1718.42,72,0.03333333333333333,9,3.484053806756885
2014-04-27,62191.619999999995,10096.199999999999,49,0.028571428571428574,7,16.234019953170538
2014-04-28,52168.15,2476.96,55,0.07142857142857142,7,4.748031126271489
2014-04-29,4255.32,589.84,11,0.0,1,13.861237227752557
2014-04-30,11683.68,-703.96,17,0.0625,4,-6.02515645755447
2014-05-01,16408.26,249.73000000000002,49,0.016666666666666666,6,1.5219773455564456
2014-05-02,22744.19,5645.41,47,0.075,4,24.82132799629268
2014-05-03,50678.29,1931.3100000000002,34,0.05,4,3.8109217970851033
2014-05-04,16731.43,3893.11,36,0.0,4,23.268244256468215
2014-05-05,20956.21,2159.3,35,0.0,5,10.303866968311542
2014-05-06,46389.840000000004,148.48000000000002,72,0.03888888888888889,9,0.3200700843115648
2014-05-07,51817.229999999996,-2709.6099999999997,84,0.02,10,-5.229167981383799
2014-05-08,13530.05,842.63,24,0.0,3,6.227840990979338
2014-05-09,15493.24,3685.41,24,0.05,4,23.78721300386491
2014-05-10,22364.9,2218.7,30,0.025,4,9.9204557140877
2014-05-11,29982.089999999997,-1700.54,67,0.07142857142857142,7,-5.671852762766038
2014-05-12,15007.85,769.5899999999999,30,0.0,3,5.127916390422345
2014-05-13,16433.54,3868.88,41,0.08,5,23.542584251475944
2014-05-14,58705.39,-871.6799999999998,66,0.09375,8,-1.48483810430354
2014-05-15,30638.99,-3920.17,43,0.08,5,-12.794710269496482
2014-05-16,28055.02,1444.17,56,0.0125,8,5.147634897426557
2014-05-17,24329.53,3042.27,29,0.024999999999999998,6,12.504433912204634
2014-05-18,30708.55,-2153.67,55,0.044444444444444446,9,-7.013258522463614
2014-05-19,46074.94,5120.1,66,0.07142857142857142,7,11.112548383134085
2014-05-20,49469.88,-1562.58,65,0.03571428571428571,7,-3.158649262945453
2014-05-21,41769.77,2439.51,83,0.05,9,5.840372116006385
2014-05-22,43880.89,-4538.29,57,0.05,9,-10.342292510475517
2014-05-23,108108.87999999999,-6747.24,109,0.06538461538461539,13,-6.241152438171592
2014-05-24,54578.05,-8413.119999999999,40,0.0,6,-15.414841680858876
2014-05-25,22696.62,2199.4,52,0.02142857142857143,7,9.690429676313038
2014-05-26,35415.58,5719.38,35,0.075,4,16.14933314659819
2014-05-27,31465.620000000003,-1151.45,43,0.06999999999999999,5,-3.6593907890580257
2014-05-28,65145.22,2385.8500000000004,65,0.044444444444444446,9,3.6623561943608456
2014-05-29,34821.53,4802.68,66,0.06875,8,13.7922716204601
2014-05-30,40995.37,2078.6100000000006,46,0.03571428571428571,7,5.0703530666999725
2014-05-31,20459.41,-2355.7,33,0.02,5,-11.51401726638256
2014-06-01,55099.79,4368.6900000000005,78,0.06999999999999999,10,7.928687205522926
2014-06-02,14891.83,623.1400000000001,29,0.0,5,4.184442073271049
2014-06-03,38571.2,-572.23,40,0.0,4,-1.4835680507736342
2014-06-04,26532.4,235.2599999999998,42,0.0,5,0.8866894815395509
2014-06-05,64869.079999999994,2576.7799999999997,85,0.1,8,3.972277701487365
2014-06-06,48807.479999999996,6139.66,62,0.09999999999999999,7,12.579342346705873
2014-06-07,10715.04,-961.53,27,0.05,4,-8.973648255162836
2014-06-08,42036.8,-3421.9399999999996,55,0.09285714285714286,7,-8.140343698854336
2014-06-09,104333.75,524.3599999999999,76,0.025,8,0.5025794625420824
2014-06-10,14183.95,-1630.6399999999999,28,0.042857142857142864,7,-11.49637442320369
2014-06-11,110469.31,16518.63,80,0.1111111111111111,9,14.953139473759727
2014-06-12,6919.4400000000005,-933.0899999999999,9,0.125,2,-13.485050813360616
2014-06-13,55598.649999999994,3248.64,46,0.016666666666666666,6,5.843019569719768
2014-06-14,54967.21,-1006.3700000000002,62,0.028571428571428574,7,-1.83085515892111
2014-06-15,51494.64,-1911.1100000000001,83,0.03333333333333333,12,-3.711279465202592
2014-06-16,24122.079999999998,-932.7299999999999,54,0.09375,8,-3.866706353680943
2014-06-17,38200.39,4348.8,43,0.0625,4,11.384176967826768
2014-06-18,17779.010000000002,-3243.96,31,0.0,4,-18.246010323409457
2014-06-19,38692.29,5366.93,34,0.016666666666666666,6,13.870799583069394
2014-06-20,28379.56,3879.7400000000002,53,0.07142857142857142,7,13.670895531854615
2014-06-21,31225.190000000002,2394.84,44,0.0125,8,7.66957703059613
2014-06-22,29387.4,905.6700000000001,48,0.0,5,3.0818309887911144
2014-06-23,3840.39,-99.96,14,0.0,3,-2.6028606469655426
2014-06-24,66569.76,1043.95,77,0.03125,8,1.5682045421224293
2014-06-25,23413.12,-1521.52,42,0.07857142857142858,7,-6.4985785747478335
2014-06-26,22219.190000000002,2271.62,27,0.049999999999999996,3,10.223685021821225
2014-06-27,81874.85,4393.05,88,0.0125,8,5.365567081954959
2014-06-28,51962.34,-3798.440000000001,48,0.0,5,-7.309986424783797
2014-06-29,59867.530000000006,-7006.4400000000005,75,0.061111111111111116,9,-11.703238800732215
2014-06-30,74362.1,6723.75,65,0.049999999999999996,7,9.041904410983552
2014-07-01,35354.06,-414.7099999999999,26,0.0,4,-1.1730194495342259
2014-07-02,63267.68,1449.24,83,0.10454545454545454,11,2.2906482425149775
2014-07-03,1212.8899999999999,197.84,13,0.075,2,16.311454460008743
2014-07-04,73983.66,-7430.0,67,0.08333333333333333,9,-10.042758090097191
2014-07-05,70754.5,9867.77,65,0.03333333333333334,9,13.946491035905845
2014-07-06,15279.86,-2190.21,34,0.0875,4,-14.333966410687008
2014-07-07,7300.469999999999,-434.46999999999997,35,0.025,4,-5.951260672258087
2014-07-08,14807.61,1735.1000000000001,26,0.03333333333333333,3,11.717623573284278
2014-07-09,69099.58,11785.52,77,0.05555555555555555,9,17.055848964639146
2014-07-10,21631.73,4506.82,31,0.09999999999999999,3,20.834302203291184
2014-07-11,4867.6,897.6,28,0.05,4,18.440299120716574
2014-07-12,42767.46,-3570.2299999999996,52,0.0642857142857143,7,-8.348005703401604
2014-07-13,37978.06,6988.11,56,0.05000000000000001,6,18.40038696026074
2014-07-14,27935.54,-1461.48,29,0.07142857142857142,7,-5.2316153544910895
2014-07-15,33598.520000000004,6497.4,36,0.125,4,19.33835180835346
2014-07-16,67800.53,2437.75,83,0.09,10,3.595473368718504
2014-07-17,6221.89,-372.53999999999996,15,0.03333333333333333,3,-5.987569693453275
2014-07-18,72426.07,2104.1899999999996,47,0.042857142857142864,7,2.9052936325276235
2014-07-19,22809.95,1201.0700000000002,36,0.025,4,5.2655529714006395
2014-07-20,29907.280000000002,6316.38,23,0.0375,4,21.11987449209691
2014-07-21,37001.65,1045.8800000000003,52,0.05714285714285715,7,2.8265766526627876
2014-07-22,40745.909999999996,199.12,45,0.06666666666666667,6,0.48868708540317307
2014-07-23,10702.91,3250.4399999999996,30,0.05,4,30.36968450636322
2014-07-24,53485.939999999995,647.7900000000003,53,0.065,10,1.21114072221597
2014-07-25,30117.2,7771.21,36,0.0,5,25.803228719801307
2014-07-26,15419.35,-270.46000000000004,39,0.0,5,-1.7540298391307028
2014-07-27,2459.3,-174.01,16,0.15,2,-7.075590615215711
2014-07-28,66679.13,6892.96,89,0.07916666666666668,12,10.33750740299101
2014-07-29,7997.0199999999995,-232.55,28,0.06,5,-2.9079582144348772
2014-07-30,8305.66,965.6200000000001,25,0.0,5,11.626047779466052
2014-07-31,22344.88,2400.64,50,0.01875,8,10.743579737282097
2014-08-01,43778.85,4495.99,50,0.05000000000000001,6,10.269776387456501
2014-08-02,25879.410000000003,5233.13,54,0.09166666666666666,6,20.221210607196994
2014-08-03,56585.68,-6074.61,46,0.09999999999999999,6,-10.735242556067188
2014-08-04,73057.32,11820.91,50,0.09166666666666667,6,16.180322519358768
2014-08-05,19334.9,651.1100000000001,38,0.028571428571428574,7,3.367537458171493
2014-08-06,15790.02,2896.27,29,0.02,5,18.342408685992798
2014-08-07,84504.99,5420.929999999999,60,0.03125,8,6.414922953070581
2014-08-08,23364.78,3791.65,49,0.028571428571428574,7,16.22805778612082
2014-08-09,44328.979999999996,7340.25,55,0.06999999999999999,5,16.55858086515864
2014-08-10,7415.53,-935.3,30,0.08333333333333333,3,-12.612719522407703
2014-08-11,46028.67,-2373.7200000000003,49,0.04,5,-5.157046684164458
2014-08-12,40867.700000000004,-244.72999999999988,39,0.1,5,-0.5988347766084214
2014-08-13,45121.23,-252.87000000000035,67,0.1142857142857143,7,-0.5604235522834824
2014-08-14,44593.2,2932.3199999999997,40,0.016666666666666666,6,6.575711094965151
2014-08-15,21308.28,931.9799999999998,45,0.075,8,4.373792722828871
2014-08-16,34334.39,3283.2,77,0.07272727272727274,11,9.562424146751988
2014-08-17,21530.46,1424.3000000000002,29,0.11000000000000001,5,6.6152790047216845
2014-08-18,74067.48,-493.7999999999996,76,0.05000000000000001,12,-0.6666893486858195
2014-08-19,16783.02,72.1300000000001,47,0.05714285714285715,7,0.42977962249940765
2014-08-20,9876.49,-1423.3200000000002,14,0.1,2,-14.411192640300353
2014-08-21,54820.61,9965.21,60,0.0,10,18.177853183319193
2014-08-22,48694.77,-1441.52,56,0.05555555555555555,9,-2.9603179150450862
2014-08-23,36413.25,425.89000000000016,61,0.061111111111111116,9,1.1696017246469352
2014-08-24,24869.969999999998,6568.71,39,0.1375,4,26.412215213769862
2014-08-25,52649.5,-4134.4,50,0.049999999999999996,7,-7.852686160362396
2014-08-26,34557.65,3692.1499999999996,65,0.08571428571428573,7,10.684030887516945
2014-08-27,6403.599999999999,488.6,15,0.0,2,7.630083078268475
2014-08-28,31691.17,5053.14,47,0.08333333333333333,6,15.944946179014535
2014-08-29,9426.880000000001,451.6,44,0.05000000000000001,6,4.790556366475441
2014-08-30,14168.44,-205.27999999999997,60,0.1142857142857143,7,-1.4488539316960793
2014-08-31,64453.63,4244.42,72,0.08181818181818182,11,6.585230343116439
2014-09-01,64410.96,2668.1,54,0.07142857142857142,7,4.142307458233816
2014-09-02,24930.28,6827.88,28,0.0,5,27.387899373773582
2014-09-03,21018.3,3896.7,24,0.03333333333333333,3,18.53955838483607
2014-09-04,18838.23,-515.5899999999999,63,0.06,10,-2.7369344147512793
2014-09-05,69318.95999999999,3859.9399999999996,51,0.07142857142857142,7,5.5683755209253
2014-09-06,36579.82,2345.9300000000003,29,0.0,5,6.413180819369807
2014-09-07,34721.08,-2881.94,35,0.025,4,-8.30026024536103
2014-09-08,41187.71,-6925.870000000001,47,0.07222222222222223,9,-16.815380121885877
2014-09-09,54604.86,-5444.68,79,0.05,10,-9.971053858575958
2014-09-10,22273.64,-1411.7500000000002,39,0.03333333333333333,6,-6.33820965051065
2014-09-11,26165.34,-1970.0300000000002,53,0.06666666666666667,6,-7.5291588032106604
2014-09-12,51008.56,-7203.36,65,0.03571428571428571,7,-14.121865035986117
2014-09-13,53892.35,13466.739999999998,80,0.07857142857142858,7,24.988221890490948
2014-09-14,14259.699999999999,-13.32000000000005,38,0.1125,4,-0.09341009979172107
2014-09-15,2395.3599999999997,-141.43,19,0.0,3,-5.9043317079687405
2014-09-16,38405.93,1395.2600000000002,47,0.0,7,3.632928560771736
2014-09-17,52655.79,24.12999999999988,50,0.07142857142857142,7,0.04582591961871597
2014-09-18,94605.88,-4164.87,112,0.02307692307692308,13,-4.402337360003416
2014-09-19,49426.479999999996,7941.700000000001,46,0.014285714285714287,7,16.067702980264833
2014-09-20,33194.44,4865.7,50,0.05000000000000001,6,14.65817769481877
2014-09-21,52932.78,-1007.1099999999997,47,0.06666666666666667,6,-1.9026206445231095
2014-09-22,33286.89,1746.9000000000003,30,0.03333333333333333,6,5.248012055196506
2014-09-23,9176.630000000001,1768.1299999999999,12,0.049999999999999996,3,19.2677486179567
2014-09-24,95361.78,-2603.2799999999997,84,0.08888888888888889,9,-2.7298987078471058
2014-09-25,42429.32,4092.02,51,0.12,5,9.644321426786949
2014-09-26,34975.35,-4934.849999999999,45,0.10999999999999999,5,-14.10950855388152
2014-09-27,43508.990000000005,-1698.5700000000002,80,0.0642857142857143,7,-3.9039518039834986
2014-09-28,13293.55,-822.31,50,0.022222222222222223,9,-6.185781826524893
2014-09-29,36380.04,-2614.5499999999997,70,0.04285714285714286,7,-7.186770547805883
2014-09-30,41981.369999999995,2526.1400000000003,58,0.025,8,6.0172881447175275
2014-10-01,95841.85,-2637.2500000000005,103,0.06923076923076923,13,-2.7516685038946975
2014-10-02,55045.2,8959.93,82,0.022222222222222223,9,16.27740475100463
2014-10-03,24045.85,1990.58,47,0.02,5,8.278268391427211
2014-10-04,38077.46,-1817.58,89,0.08636363636363636,11,-4.7733751148317145
2014-10-05,9678.33,1628.91,20,0.13999999999999999,5,16.83048625124376
2014-10-06,48993.1,5036.82,71,0.06875,8,10.280672176286048
2014-10-07,41851.63,-9843.85,41,0.05833333333333333,6,-23.520828221027475
2014-10-08,15526.64,2166.44,34,0.049999999999999996,3,13.953051014256786
2014-10-09,18000.36,-1255.21,31,0.025,4,-6.973249423900412
2014-10-10,41085.72,-975.3499999999998,35,0.03,5,-2.373939169132243
2014-10-11,38137.770000000004,-5793.3099999999995,45,0.02,5,-15.190479149672356
2014-10-12,78656.65000000001,2644.8800000000006,75,0.015,10,3.3625637501724266
2014-10-13,3843.93,617.26,3,0.15,1,16.05804476148109
2014-10-14,45449.32,6695.01,58,0.042857142857142864,7,14.730715443047332
2014-10-15,17074.35,2468.91,30,0.02,5,14.459759815161338
2014-10-16,12454.38,-105.23,46,0.016666666666666666,6,-0.8449236332920628
2014-10-17,40430.46,536.2600000000001,44,0.03,5,1.3263762024968306
2014-10-18,11664.44,1095.5500000000002,30,0.06666666666666667,3,9.392221143921184
2014-10-19,17696.55,4886.49,37,0.028571428571428574,7,27.612670266238336
2014-10-20,47539.32,-6794.66,38,0.0,4,-14.29271600855881
2014-10-21,39990.73,4554.5,56,0.07857142857142858,7,11.388889375112681
2014-10-22,41633.08,8885.680000000002,47,0.041666666666666664,6,21.342836033269702
2014-10-23,8858.35,1029.57,12,0.03333333333333333,3,11.622593372354896
2014-10-24,15861.5,1580.2099999999998,29,0.1,5,9.962550830627618
2014-10-25,36828.7,257.6700000000001,68,0.1,10,0.6996445706745014
2014-10-26,65145.159999999996,5903.75,74,0.08888888888888889,9,9.062453757117183
2014-10-27,41859.93,-2717.92,43,0.1125,8,-6.492891889690212
2014-10-28,20485.46,2904.84,37,0.08,5,14.180008650037637
2014-10-29,56403.63,3144.4800000000005,95,0.03333333333333334,9,5.574960334999717
2014-10-30,84228.36,6009.76,63,0.06000000000000001,10,7.135078968651413
2014-10-31,21290.46,-5463.15,23,0.13333333333333333,3,-25.660084375819025
2014-11-01,70037.98999999999,11135.57,69,0.04375,8,15.899328350228215
2014-11-02,13669.21,-1665.0000000000002,37,0.049999999999999996,6,-12.180660038144124
2014-11-03,69562.04000000001,11741.98,65,0.05909090909090908,11,16.879867237936093
2014-11-04,12024.28,2210.74,28,0.025,4,18.385633069090204
2014-11-05,37575.979999999996,-2948.3599999999997,67,0.049999999999999996,7,-7.846395489884761
2014-11-06,375705.81,9074.429999999998,85,0.07272727272727274,11,2.4153020151591478
2014-11-07,42824.42,1689.35,38,0.06999999999999999,5,3.944828674854207
2014-11-08,35410.53,2283.1699999999996,32,0.09999999999999999,7,6.4477148464030325
2014-11-09,24894.190000000002,-3295.51,40,0.04,5,-13.238068802399274
2014-11-10,73480.62,-2611.15,81,0.04,10,-3.553522003488811
2014-11-11,54792.29,-537.4499999999998,70,0.05500000000000001,10,-0.9808861794241486
2014-11-12,56886.78,-5144.9400000000005,75,0.027777777777777776,9,-9.044175114147787
2014-11-13,51429.6,5384.31,71,0.09,10,10.469282281021048
2014-11-14,36071.57,3539.29,79,0.08636363636363636,11,9.811854599065137
2014-11-15,24145.71,-2334.1,31,0.0,3,-9.666727547046658
2014-11-16,21671.629999999997,1053.67,32,0.06000000000000001,5,4.86197854060816
2014-11-17,10634.22,-205.98999999999995,32,0.05000000000000001,6,-1.9370485094346361
2014-11-18,27198.600000000002,4827.94,35,0.041666666666666664,6,17.75069305037759
2014-11-19,78667.56,2660.87,89,0.05909090909090909,11,3.3824234538353544
2014-11-20,89511.09,-4044.66,98,0.04666666666666666,15,-4.518613280209189
2014-11-21,40394.35,4972.91,41,0.09999999999999999,6,12.310904866645954
2014-11-22,25413.57,-1757.4400000000003,29,0.0,5,-6.915360573111139
2014-11-23,38623.47,-4456.460000000001,59,0.014285714285714287,7,-11.53821756564079
2014-11-24,15843.81,-1154.9699999999998,44,0.016666666666666666,6,-7.289723873235035
2014-11-25,32545.79,4313.450000000001,54,0.15,4,13.253480711330102
2014-11-26,83889.4,14612.510000000002,108,0.049999999999999996,14,17.41877996504922
2014-11-27,31171.64,4341.88,51,0.06666666666666667,9,13.928943103410665
2014-11-28,46189.189999999995,4064.58,64,0.08750000000000001,8,8.799851220599454
2014-11-29,58956.97,9497.93,51,0.05,5,16.109935771801027
2014-11-30,16450.75,5588.57,8,0.0,2,33.97152105527104
2014-12-01,7302.3099999999995,482.16999999999996,40,0.04,5,6.602979057312002
2014-12-02,24569.6,3493.9900000000002,28,0.0,4,14.22078503516541
2014-12-03,114172.17,874.99,77,0.05555555555555555,9,0.7663776557807389
2014-12-04,19783.96,1415.5900000000001,42,0.024999999999999998,6,7.155240912335044
2014-12-05,7772.280000000001,12.939999999999998,40,0.049999999999999996,6,0.16648911258987065
2014-12-06,50577.87,4057.38,61,0.0625,8,8.02204600549608
2014-12-07,30819.79,7513.969999999999,58,0.08571428571428572,7,24.38034133263075
2014-12-08,33599.35,6723.68,43,0.04375,8,20.011339505079714
2014-12-09,66355.76000000001,5102.99,96,0.05416666666666666,12,7.690349714930549
2014-12-10,29320.2,3643.68,58,0.05,8,12.427200360161253
2014-12-11,25146.989999999998,2405.38,58,0.05714285714285715,7,9.565279979830589
2014-12-12,64667.33,3611.5400000000004,39,0.016666666666666666,6,5.5847983827382395
2014-12-13,13826.59,2893.36,25,0.08,5,20.9260562438027
2014-12-14,61538.770000000004,-6780.26,73,0.0875,8,-11.017867272940295
2014-12-15,38832.35,-396.23,59,0.061111111111111116,9,-1.0203606014057869
2014-12-16,36928.240000000005,3039.99,70,0.05000000000000001,6,8.232155120309008
2014-12-17,18019.41,-2604.57,27,0.07500000000000001,4,-14.454246837160598
2014-12-18,34003.270000000004,4560.5,61,0.0,6,13.411945380547222
2014-12-19,84986.85,2598.45,87,0.0625,8,3.0574730090596365
2014-12-20,32956.04,3532.08,55,0.09,10,10.717549802706879
2014-12-21,24434.41,3247.4300000000003,31,0.13333333333333333,3,13.290396616902148
2014-12-22,223580.00000000003,10545.210000000001,37,0.05,5,4.716526522944807
2014-12-23,52815.35,7863.88,62,0.03333333333333334,9,14.889383484157543
2014-12-24,59162.18,15648.789999999999,62,0.07777777777777778,9,26.450664934929712
2014-12-25,12111.1,262.04999999999995,44,0.10833333333333334,6,2.163717581392276
